,AirBnB ,Amazon,Apple,Cisco,Dell,Etsy ,Facebook,Flickr,Google,Groupon,HP,Indiegogo,Ingram Micro,Instagram,Intel,LinkedIn,Microsoft,Netflix,Nvidia,Pandora,Pinterest,Salesforce,Slack,Tumblr,Twitter,Uber,Yahoo!,Yelp,YouTube,eBay
White,49.7701838529,48,53.4653465347,52.4752475248,68.7092070561,78.2178217822,48.52,45,52,60.3861386139,73,57,52,48.5148514851,47.8,50.9803921569,56,55.3218390805,36.63,65,47.5247524752,66.2467997952,58.7,45,54.2030456853,48.5514485514,45,62,54.9019607843,50
Asian,36.3309352518,13,20.7920792079,36.6336633663,9.116789334,9.900990099,39.6,44,36,19.801980198,12,28,14,39.603960396,38.5,38.2352941176,31,27.5862068966,44.55,16,40.5940594059,24.4444444444,24.4,44,32.7411167513,32.2677322677,44,15,34.3137254902,39
Latino,7.4340527578,13,12.8712871287,4.9504950495,11.1512289957,3.9603960396,4.95,4,4,7.9207920792,8,7,19,4.9504950495,7.8,3.9215686275,6,6.8965517241,2.97,8,5.9405940594,3.9938556068,6.9,4,4.3147208122,6.0939060939,4,10,3.9215686275,6
Black,3.4472422062,21,8.9108910891,3.9603960396,9.0472156641,2.9702970297,2.97,2,3,7.9207920792,4,4,13,2.9702970297,4,3.9215686275,4,4.5977011494,0.99,5,2.9702970297,2.5908858167,4.9,2,4.3147208122,8.0919080919,2,6,1.9607843137,3
Multi,2.5179856115,1,2.9702970297,0.9900990099,1,3.9603960396,2.97,2,4,1,2,1,1,2.9702970298,1,1.9607843137,2,1,13.86,5,1.9801980198,2.6216077829,4.4,2,3.426395939,4.2957042957,2,5,3.9215686275,1
Other,0.4996003198,4,0.9900990099,0.9900990099,0.9755589501,0.9900990099,0.99,3,1,2.9702970297,1,3,1,0.9900990099,0.9,0.9803921568,1,4.5977011494,1,1,0.99009901,0.102406554,0.7,3,1,0.6993006994,3,2,0.9803921568,1
