# Days into 2020,S&P 500,Nasdaq 100,AAPL,MSFT,AMZN,GOOG,TSLA,NVDA,BRK.B
30,332,229,80,184,2079,1476,149,63,227
60,297,208,72,161,1901,1298,140,67,206
90,278,201,67,165,2043,1211,114,66,194
120,292,225,78,185,2380,1388,164,78,176
150,319,239,83,187,2483,1438,177,89,201
180,319,239,83,187,2483,1438,177,89,200
210,317,264,96,214,3200,1541,309,105,183
240,334,271,111,212,3167,1494,291,112,209
270,334,270,112,204,3116,1520,372,121,218
