# Days into 2020,Avg VIX Close,Avg COVID Daily Cases (US)
30,13.94,1
60,19.63,1
90,57.74,6253.0
120,41.45,29769.48
150,30.90,23773.35
180,31.12,28038.00
210,26.84,63702.77
240,22.89,47750.86
270,27.65,41404.76

