Response,British food tends to be more expensive than imported food,I think that British food tastes better,I try to buy British food whenever I can,I usually check the label to see which country my groceries come from,I'm prepared to pay more for British food,It's important to support British farmers
Strongly agree,11,12,17,14,9,29
Agree,31,27,42,33,29,49
Neutral,46,48,31,27,38,18
Disagree,11,10,8,20,20,3
Strongly disagree,1,3,2,6,4,1
